zona,area_quartos,enderecos_lista,aluguel
oeste,"1,470 m² construídos","Rua Mergenthaler, 1001, Vila Leopoldina, São Paulo Zona Oeste, São Paulo",51.450
oeste,49 m² construídos2 quartos,"Jardim Casablanca, São Paulo Zona Oeste, São Paulo",1.500
oeste,"3,355 m² construídos","Vila Leopoldina, Vila Leopoldina, São Paulo Zona Oeste, São Paulo",150.000
oeste,40 m² construídos2 quartos,"Avenida João Caiaffa, Jardim Taboão, São Paulo Zona Oeste, São Paulo",1.500
oeste,44 m² construídos2 quartos,"Rua Carubinha, Parque Esmeralda, São Paulo Zona Oeste, São Paulo",1.400
oeste,35 m² construídos1 quarto,"Avenida Francisco Matarazzo, Água Branca, São Paulo Zona Oeste, São Paulo",1.150
oeste,50 m² construídos2 quartos,"Rua Antônio Júlio Dos Santos, Fazenda Morumbi, São Paulo Zona Oeste, São Paulo",1.350
oeste,160 m² construídos,"Jardim Arpoador, São Paulo Zona Oeste, São Paulo",5.000
oeste,69 m² construídos,"Avenida Doutor Chucri Zaidan, 1550, Vila Cordeiro, São Paulo Zona Oeste, São Paulo",5.000
oeste,37 m² construídos1 quarto,"Rua Domingos Lopes Da Silva, Vila Suzana, São Paulo Zona Oeste, São Paulo",1.100
oeste,54 m² construídos1 quarto,"Rua Parnamirim, Jaguaré, São Paulo Zona Oeste, São Paulo",1.100
oeste,62 m² construídos2 quartos,"Rua Nanuque, Vila Leopoldina, São Paulo Zona Oeste, São Paulo",2.000
oeste,72 m² construídos3 quartos,"Rua Croata, Vila Ipojuca, São Paulo Zona Oeste, São Paulo",1.800
oeste,81 m² construídos3 quartos,"Rua Nelson Frank, Jardim Arpoador, São Paulo Zona Oeste, São Paulo",1.560
oeste,30 m² construídos1 quarto,"Avenida Corifeu De Azevedo Marques, Butantã, São Paulo Zona Oeste, São Paulo",1.450
oeste,53 m² construídos2 quartos,"Rua Domingos Mazzeu, Vila Lageado, São Paulo Zona Oeste, São Paulo",1.736
oeste,50 m² construídos2 quartos,"Rua Comendador Francisco Pettinati, Jardim Monte Kemel, São Paulo Zona Oeste, São Paulo",1.200
oeste,47 m² construídos1 quarto,"Rua Eugênio Lorenzetti, Jardim Íris, São Paulo Zona Oeste, São Paulo",820
oeste,67 m² construídos3 quartos,"Rua Eusébio De Paula Marcondes, Jardim D Abril, São Paulo Zona Oeste, São Paulo",1.465
oeste,44 m² construídos2 quartos,"Rua Santa Isabel Do Rio Negro, Jardim Íris, São Paulo Zona Oeste, São Paulo",1.365
oeste,130 m² construídos4 quartos,"Rua Belchior De Azevedo, Vila Leopoldina, São Paulo Zona Oeste, São Paulo",6.300
oeste,64 m² construídos2 quartos,"Rua Delfina, Vila Madalena, São Paulo Zona Oeste, São Paulo",6.500
oeste,65 m² construídos2 quartos,"Rua Girassol, Vila Madalena, São Paulo Zona Oeste, São Paulo",2.500
oeste,120 m² construídos2 quartos,"Rua Domingos Lopes Da Silva, Vila Suzana, São Paulo Zona Oeste, São Paulo",2.600
oeste,76 m² construídos3 quartos,"Avenida Diógenes Ribeiro De Lima 2000, Alto De Pinheiros, São Paulo Zona Oeste, São Paulo",2.300
oeste,200 m² construídos3 quartos,"Rua Manuel Alonso Esteves, Jardim Esmeralda, São Paulo Zona Oeste, São Paulo",3.000
oeste,93 m² construídos3 quartos,"Rua Cayowaá, Perdizes, São Paulo Zona Oeste, São Paulo",2.754
oeste,45 m² construídos2 quartos,"Avenida Raimundo Pereira De Magalhães, Jardim Íris, São Paulo Zona Oeste, São Paulo",1.155
oeste,76 m² construídos3 quartos,"Avenida Pompéia, Vila Pompéia, São Paulo Zona Oeste, São Paulo",1.800
oeste,72 m² construídos2 quartos,"Rua Doutor Alberto Seabra, Vila Madalena, São Paulo Zona Oeste, São Paulo",2.500
oeste,70 m² construídos3 quartos,"Rua Poetisa Colombina, Jardim Bonfiglioli, São Paulo Zona Oeste, São Paulo",2.080
oeste,100 m² construídos3 quartos,"Rua Tanabi, Perdizes, São Paulo Zona Oeste, São Paulo",2.450
oeste,97 m² construídos3 quartos,"Rua Júlio Rebollo Perez, Jardim Peri Peri, São Paulo Zona Oeste, São Paulo",2.600
oeste,65 m² construídos2 quartos,"Rua João Tibiriçá, Lapa, São Paulo Zona Oeste, São Paulo",3.000
oeste,80 m² construídos3 quartos,"Rua Jorge Americano, Alto Da Lapa, São Paulo Zona Oeste, São Paulo",2.700
oeste,70 m² construídos2 quartos,"Praça General Porto Carreiro, Jaguaré, São Paulo Zona Oeste, São Paulo",1.900
oeste,226 m² construídos4 quartos,"Rua Apinajés, Perdizes, São Paulo Zona Oeste, São Paulo",12.000
oeste,247 m² construídos4 quartos,"Rua Massacá, Alto De Pinheiros, São Paulo Zona Oeste, São Paulo",12.000
oeste,217 m² construídos4 quartos,"Rua Apiacás, Perdizes, São Paulo Zona Oeste, São Paulo",6.000
oeste,70 m² construídos3 quartos,"Rua Padre Chico, Perdizes, São Paulo Zona Oeste, São Paulo",2.080
oeste,50 m² construídos2 quartos,"Avenida Imperatriz Leopoldina, Vila Leopoldina, São Paulo Zona Oeste, São Paulo",2.250
oeste,86 m² construídos2 quartos,"Rua Capote Valente, Pinheiros, São Paulo Zona Oeste, São Paulo",2.720
oeste,200 m² construídos3 quartos,"Avenida Rebouças, Pinheiros, São Paulo Zona Oeste, São Paulo",5.307
oeste,88 m² construídos2 quartos,"Rua Carlos Weber, Vila Leopoldina, São Paulo Zona Oeste, São Paulo",4.500
oeste,40 m² construídos2 quartos,"Avenida Corifeu De Azevedo Marques, Butantã, São Paulo Zona Oeste, São Paulo",2.200
oeste,479 m² construídos4 quartos,"Rua Jacunda, Jardim Panorama, São Paulo Zona Oeste, São Paulo",10.000
oeste,42 m² construídos1 quarto,"Avenida Diógenes Ribeiro De Lima, Alto Da Lapa, São Paulo Zona Oeste, São Paulo",2.000
oeste,86 m² construídos2 quartos,"Rua Pereira Leite, Sumarezinho, São Paulo Zona Oeste, São Paulo",5.000
